"id","description","code"
"uso_cfdi001","Adquisición de mercancias","G01"
"uso_cfdi002","Devoluciones, descuentos o bonificaciones","G02"
"uso_cfdi003","Gastos en general","G03"
"uso_cfdi004","Construcciones","I01"
"uso_cfdi005","Mobilario y equipo de oficina por inversiones","I02"
"uso_cfdi006","Equipo de transporte","I03"
"uso_cfdi007","Equipo de computo y accesorios","I04"
"uso_cfdi008","Dados, troqueles, moldes, matrices y herramental","I05"
"uso_cfdi009","Comunicaciones telefónicas","I06"
"uso_cfdi010","Comunicaciones satelitales","I07"
"uso_cfdi011","Otra maquinaria y equipo","I08"
"uso_cfdi012","Honorarios médicos, dentales y gastos hospitalarios.","D01"
"uso_cfdi013","Gastos médicos por incapacidad o discapacidad","D02"
"uso_cfdi014","Gastos funerales.","D03"
"uso_cfdi015","Donativos.","D04"
"uso_cfdi016","Intereses reales efectivamente pagados por créditos hipotecarios (casa habitación).","D05"
"uso_cfdi017","Aportaciones voluntarias al SAR.","D06"
"uso_cfdi018","Primas por seguros de gastos médicos.","D07"
"uso_cfdi019","Gastos de transportación escolar obligatoria.","D08"
"uso_cfdi020","Depósitos en cuentas para el ahorro, primas que tengan como base planes de pensiones.","D09"
"uso_cfdi021","Pagos por servicios educativos (colegiaturas)","D10"
"uso_cfdi022","Por definir","P01"
"uso_cfdi023","Sin efectos fiscales","S01"
