id,level,code,name
__export__.account_hierarchy_label_0,1,1,Activo
__export__.account_hierarchy_label_1,2,100,Activo
__export__.account_hierarchy_label_2,3,100.01,Activo a corto plazo
__export__.account_hierarchy_label_3,2,101,Caja
__export__.account_hierarchy_label_4,3,101.01,Caja y efectivo
__export__.account_hierarchy_label_5,2,102,Bancos
__export__.account_hierarchy_label_6,3,102.01,Bancos nacionales
__export__.account_hierarchy_label_7,3,102.02,Bancos extranjeros
__export__.account_hierarchy_label_8,2,103,Inversiones
__export__.account_hierarchy_label_9,3,103.01,Inversiones temporales
__export__.account_hierarchy_label_10,3,103.02,Inversiones en fideicomisos
__export__.account_hierarchy_label_11,3,103.03,Otras inversiones
__export__.account_hierarchy_label_12,2,104,Otros instrumentos financieros
__export__.account_hierarchy_label_13,3,104.01,Otros instrumentos financieros
__export__.account_hierarchy_label_14,2,105,Clientes
__export__.account_hierarchy_label_15,3,105.01,Clientes nacionales
__export__.account_hierarchy_label_16,3,105.02,Clientes extranjeros
__export__.account_hierarchy_label_17,3,105.03,Clientes nacionales parte relacionada
__export__.account_hierarchy_label_18,3,105.04,Clientes extranjeros parte relacionada
__export__.account_hierarchy_label_19,2,106,Cuentas y documentos por cobrar a corto plazo
__export__.account_hierarchy_label_20,3,106.01,Cuentas y documentos por cobrar a corto plazo nacional
__export__.account_hierarchy_label_21,3,106.02,Cuentas y documentos por cobrar a corto plazo extranjero
__export__.account_hierarchy_label_22,3,106.03,Cuentas y documentos por cobrar a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_23,3,106.04,Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_24,3,106.05,Intereses por cobrar a corto plazo nacional
__export__.account_hierarchy_label_25,3,106.06,Intereses por cobrar a corto plazo extranjero
__export__.account_hierarchy_label_26,3,106.07,Intereses por cobrar a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_27,3,106.08,Intereses por cobrar a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_28,3,106.09,Otras cuentas y documentos por cobrar a corto plazo
__export__.account_hierarchy_label_29,3,106.10,Otras cuentas y documentos por cobrar a corto plazo parte relacionada
__export__.account_hierarchy_label_30,2,107,Deudores diversos
__export__.account_hierarchy_label_31,3,107.01,Funcionarios y empleados
__export__.account_hierarchy_label_32,3,107.02,Socios y accionistas
__export__.account_hierarchy_label_33,3,107.03,Partes relacionadas nacionales
__export__.account_hierarchy_label_34,3,107.04,Partes relacionadas extranjeros
__export__.account_hierarchy_label_35,3,107.05,Otros deudores diversos
__export__.account_hierarchy_label_36,2,108,Estimación de cuentas incobrables
__export__.account_hierarchy_label_37,3,108.01,Estimación de cuentas incobrables nacional
__export__.account_hierarchy_label_38,3,108.02,Estimación de cuentas incobrables extranjero
__export__.account_hierarchy_label_39,3,108.03,Estimación de cuentas incobrables nacional parte relacionada
__export__.account_hierarchy_label_40,3,108.04,Estimación de cuentas incobrables extranjero parte relacionada
__export__.account_hierarchy_label_41,2,109,Pagos anticipados
__export__.account_hierarchy_label_42,3,109.01,Seguros y fianzas pagados por anticipado nacional
__export__.account_hierarchy_label_43,3,109.02,Seguros y fianzas pagados por anticipado extranjero
__export__.account_hierarchy_label_44,3,109.03,Seguros y fianzas pagados por anticipado nacional parte relacionada
__export__.account_hierarchy_label_45,3,109.04,Seguros y fianzas pagados por anticipado extranjero parte relacionada
__export__.account_hierarchy_label_46,3,109.05,Rentas pagados por anticipado nacional
__export__.account_hierarchy_label_47,3,109.06,Rentas pagados por anticipado extranjero
__export__.account_hierarchy_label_48,3,109.07,Rentas pagados por anticipado nacional parte relacionada
__export__.account_hierarchy_label_49,3,109.08,Rentas pagados por anticipado extranjero parte relacionada
__export__.account_hierarchy_label_50,3,109.09,Intereses pagados por anticipado nacional
__export__.account_hierarchy_label_51,3,109.10,Intereses pagados por anticipado extranjero
__export__.account_hierarchy_label_52,3,109.11,Intereses pagados por anticipado nacional parte relacionada
__export__.account_hierarchy_label_53,3,109.12,Intereses pagados por anticipado extranjero parte relacionada
__export__.account_hierarchy_label_54,3,109.13,Factoraje financiero pagados por anticipado nacional
__export__.account_hierarchy_label_55,3,109.14,Factoraje financiero pagados por anticipado extranjero
__export__.account_hierarchy_label_56,3,109.15,Factoraje financiero pagados por anticipado nacional parte relacionada
__export__.account_hierarchy_label_57,3,109.16,Factoraje financiero pagados por anticipado extranjero parte relacionada
__export__.account_hierarchy_label_58,3,109.17,Arrendamiento financiero pagados por anticipado nacional
__export__.account_hierarchy_label_59,3,109.18,Arrendamiento financiero pagados por anticipado extranjero
__export__.account_hierarchy_label_60,3,109.19,Arrendamiento financiero pagados por anticipado nacional parte relacionada
__export__.account_hierarchy_label_61,3,109.2,Arrendamiento financiero pagados por anticipado extranjero parte relacionada
__export__.account_hierarchy_label_62,3,109.21,Pérdida por deterioro de pagos anticipados
__export__.account_hierarchy_label_63,3,109.22,Derechos fiduciarios
__export__.account_hierarchy_label_64,3,109.23,Otros pagos anticipados
__export__.account_hierarchy_label_65,2,110,Subsidio al empleo por aplicar
__export__.account_hierarchy_label_66,3,110.01,Subsidio al empleo por aplicar
__export__.account_hierarchy_label_67,2,111,Crédito al diesel por acreditar
__export__.account_hierarchy_label_68,3,111.01,Crédito al diesel por acreditar
__export__.account_hierarchy_label_69,2,112,Otros estímulos
__export__.account_hierarchy_label_70,3,112.01,Otros estímulos
__export__.account_hierarchy_label_71,2,113,Impuestos a favor
__export__.account_hierarchy_label_72,3,113.01,IVA a favor
__export__.account_hierarchy_label_73,3,113.02,ISR a favor
__export__.account_hierarchy_label_74,3,113.03,IETU a favor
__export__.account_hierarchy_label_75,3,113.04,IDE a favor
__export__.account_hierarchy_label_76,3,113.05,IA a favor
__export__.account_hierarchy_label_77,3,113.06,Subsidio al empleo
__export__.account_hierarchy_label_78,3,113.07,Pago de lo indebido
__export__.account_hierarchy_label_79,3,113.08,Otros impuestos a favor
__export__.account_hierarchy_label_80,2,114,Pagos provisionales
__export__.account_hierarchy_label_81,3,114.01,Pagos provisionales de ISR
__export__.account_hierarchy_label_82,2,115,Inventario
__export__.account_hierarchy_label_83,3,115.01,Inventario
__export__.account_hierarchy_label_84,3,115.02,Materia prima y materiales
__export__.account_hierarchy_label_85,3,115.03,Producción en proceso
__export__.account_hierarchy_label_86,3,115.04,Productos terminados
__export__.account_hierarchy_label_87,3,115.05,Mercancías en tránsito
__export__.account_hierarchy_label_88,3,115.06,Mercancías en poder de terceros
__export__.account_hierarchy_label_89,3,115.07,Otros
__export__.account_hierarchy_label_90,2,116,Estimación de inventarios obsoletos y de lento movimiento
__export__.account_hierarchy_label_91,3,116.01,Estimación de inventarios obsoletos y de lento movimiento
__export__.account_hierarchy_label_92,2,117,Obras en proceso de inmuebles
__export__.account_hierarchy_label_93,3,117.01,Obras en proceso de inmuebles
__export__.account_hierarchy_label_94,2,118,Impuestos acreditables pagados
__export__.account_hierarchy_label_95,3,118.01,IVA acreditable pagado
__export__.account_hierarchy_label_96,3,118.02,IVA acreditable de importación pagado
__export__.account_hierarchy_label_97,3,118.03,IEPS acreditable pagado
__export__.account_hierarchy_label_98,3,118.04,IEPS pagado en importación
__export__.account_hierarchy_label_99,2,119,Impuestos acreditables por pagar
__export__.account_hierarchy_label_100,3,119.01,IVA pendiente de pago
__export__.account_hierarchy_label_101,3,119.02,IVA de importación pendiente de pago
__export__.account_hierarchy_label_102,3,119.03,IEPS pendiente de pago
__export__.account_hierarchy_label_103,3,119.04,IEPS pendiente de pago en importación
__export__.account_hierarchy_label_104,2,120,Anticipo a proveedores
__export__.account_hierarchy_label_105,3,120.01,Anticipo a proveedores nacional
__export__.account_hierarchy_label_106,3,120.02,Anticipo a proveedores extranjero
__export__.account_hierarchy_label_107,3,120.03,Anticipo a proveedores nacional parte relacionada
__export__.account_hierarchy_label_108,3,120.04,Anticipo a proveedores extranjero parte relacionada
__export__.account_hierarchy_label_109,2,121,Otros activos a corto plazo
