"id","parent_id/id","code_prefix_start","code_prefix_end","name","cuenta_sat","cuenta_tipo"
"cod_sat_379","cod_sat_77",205.03,205.03,"Acreedores diversos a corto plazo extranjero",205.03,"Acreedora"
"cod_sat_380","cod_sat_77",205.04,205.04,"Acreedores diversos a corto plazo nacional parte relacionada",205.04,"Acreedora"
"cod_sat_381","cod_sat_77",205.05,205.05,"Acreedores diversos a corto plazo extranjero parte relacionada",205.05,"Acreedora"
"cod_sat_382","cod_sat_77",205.06,205.06,"Otros acreedores diversos a corto plazo",205.06,"Acreedora"
"cod_sat_383","cod_sat_78",206.01,206.01,"Anticipo de cliente nacional",206.01,"Acreedora"
"cod_sat_384","cod_sat_78",206.02,206.02,"Anticipo de cliente extranjero",206.02,"Acreedora"
"cod_sat_385","cod_sat_78",206.03,206.03,"Anticipo de cliente nacional parte relacionada",206.03,"Acreedora"
"cod_sat_386","cod_sat_78",206.04,206.04,"Anticipo de cliente extranjero parte relacionada",206.04,"Acreedora"
"cod_sat_387","cod_sat_78",206.05,206.05,"Otros anticipos de clientes",206.05,"Acreedora"
"cod_sat_388","cod_sat_79",207.01,207.01,"IVA trasladado",207.01,"Acreedora"
"cod_sat_389","cod_sat_79",207.02,207.02,"IEPS trasladado",207.02,"Acreedora"
"cod_sat_390","cod_sat_80",208.01,208.01,"IVA trasladado cobrado",208.01,"Acreedora"
"cod_sat_391","cod_sat_80",208.02,208.02,"IEPS trasladado cobrado",208.02,"Acreedora"
"cod_sat_392","cod_sat_81",209.01,209.01,"IVA trasladado no cobrado",209.01,"Acreedora"
"cod_sat_393","cod_sat_81",209.02,209.02,"IEPS trasladado no cobrado",209.02,"Acreedora"
"cod_sat_394","cod_sat_82",210.01,210.01,"Provisión de sueldos y salarios por pagar",210.01,"Acreedora"
"cod_sat_395","cod_sat_82",210.02,210.02,"Provisión de vacaciones por pagar",210.02,"Acreedora"
"cod_sat_396","cod_sat_82",210.03,210.03,"Provisión de aguinaldo por pagar",210.03,"Acreedora"
"cod_sat_397","cod_sat_82",210.04,210.04,"Provisión de fondo de ahorro por pagar",210.04,"Acreedora"
"cod_sat_398","cod_sat_82",210.05,210.05,"Provisión de asimilados a salarios por pagar",210.05,"Acreedora"
"cod_sat_399","cod_sat_82",210.06,210.06,"Provisión de anticipos o remanentes por distribuir",210.06,"Acreedora"
"cod_sat_400","cod_sat_82",210.07,210.07,"Provisión de otros sueldos y salarios por pagar",210.07,"Acreedora"
"cod_sat_401","cod_sat_83",211.01,211.01,"Provisión de IMSS patronal por pagar",211.01,"Acreedora"
"cod_sat_402","cod_sat_83",211.02,211.02,"Provisión de SAR por pagar",211.02,"Acreedora"
"cod_sat_403","cod_sat_83",211.03,211.03,"Provisión de infonavit por pagar",211.03,"Acreedora"
"cod_sat_404","cod_sat_84",212.01,212.01,"Provisión de impuesto estatal sobre nómina por pagar",212.01,"Acreedora"
"cod_sat_405","cod_sat_85",213.01,213.01,"IVA por pagar",213.01,"Acreedora"
"cod_sat_406","cod_sat_85",213.02,213.02,"IEPS por pagar",213.02,"Acreedora"
"cod_sat_407","cod_sat_85",213.03,213.03,"ISR por pagar",213.03,"Acreedora"
"cod_sat_408","cod_sat_85",213.04,213.04,"Impuesto estatal sobre nómina por pagar",213.04,"Acreedora"
"cod_sat_409","cod_sat_85",213.05,213.05,"Impuesto estatal y municipal por pagar",213.05,"Acreedora"
"cod_sat_410","cod_sat_85",213.06,213.06,"Derechos por pagar",213.06,"Acreedora"
"cod_sat_411","cod_sat_85",213.07,213.07,"Otros impuestos por pagar",213.07,"Acreedora"
"cod_sat_412","cod_sat_86",214.01,214.01,"Dividendos por pagar",214.01,"Acreedora"
"cod_sat_413","cod_sat_87",215.01,215.01,"PTU por pagar",215.01,"Acreedora"
"cod_sat_414","cod_sat_87",215.02,215.02,"PTU por pagar de ejercicios anteriores",215.02,"Acreedora"
"cod_sat_415","cod_sat_87",215.03,215.03,"Provisión de PTU por pagar",215.03,"Acreedora"
"cod_sat_416","cod_sat_88",216.01,216.01,"Impuestos retenidos de ISR por sueldos y salarios",216.01,"Acreedora"
