id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_data_classification,grcbit.data.classification,model_data_classification,grcbit.grcbit_admin,1,1,1,1
access_it_inventory,grcbit.it.inventory,model_it_inventory,grcbit.grcbit_admin,1,1,1,1
access_data_inventory,grcbit.data.inventory,model_data_inventory,grcbit.grcbit_admin,1,1,1,1
access_control_type,grcbit.control.type,model_control_type,grcbit.grcbit_admin,1,1,1,1
access_security_property,grcbit.security.property,model_security_property,grcbit.grcbit_admin,1,1,1,1
access_cybersecurity_concept,grcbit.cybersecurity.concept,model_cybersecurity_concept,grcbit.grcbit_admin,1,1,1,1
access_operational_capability,grcbit.operational.capability,model_operational_capability,grcbit.grcbit_admin,1,1,1,1
access_security_domain,grcbit.security.domain,model_security_domain,grcbit.grcbit_admin,1,1,1,1
access_business_process,grcbit.business.process,model_business_process,grcbit.grcbit_admin,1,1,1,1
access_security_policy,grcbit.security.policy,model_security_policy,grcbit.grcbit_admin,1,1,1,1
access_third_party,grcbit.third.party,model_third_party,grcbit.grcbit_admin,1,1,1,1
access_impact_level,grcbit.impact.level,model_impact_level,grcbit.grcbit_admin,1,1,1,1
access_probability_level,grcbit.probablity.level,model_probability_level,grcbit.grcbit_admin,1,1,1,1
access_risk_classification,grcbit.risk.classification,model_risk_classification,grcbit.grcbit_admin,1,1,1,1
access_risk_factor,grcbit.risk.factor,model_risk_factor,grcbit.grcbit_admin,1,1,1,1
access_control_design,grcbit.control.design,model_control_design,grcbit.grcbit_admin,1,1,1,1
access_control_category,grcbit.control.category,model_control_category,grcbit.grcbit_admin,1,1,1,1
access_iso_control,grcbit.iso.control,model_iso_control,grcbit.grcbit_admin,1,1,1,1
access_statement_applicability,grcbit.statement.applicability,model_statement_applicability,grcbit.grcbit_admin,1,1,1,1

access_data_classification_guest,grcbit.data.classification.guest,model_data_classification,grcbit.guest,1,0,0,0
access_it_inventory_guest,grcbit.it.inventory.guest,model_it_inventory,grcbit.guest,1,0,0,0
access_data_inventory_guest,grcbit.data.inventory.guest,model_data_inventory,grcbit.guest,1,0,0,0
access_control_type_guest,grcbit.control.type.guest,model_control_type,grcbit.guest,1,0,0,0
access_security_property_guest,grcbit.security.property.guest,model_security_property,grcbit.guest,1,0,0,0
access_cybersecurity_concept_guest,grcbit.cybersecurity.concept.guest,model_cybersecurity_concept,grcbit.guest,1,0,0,0
access_operational_capability_guest,grcbit.operational.capability.guest,model_operational_capability,grcbit.guest,1,0,0,0
access_security_domain_guest,grcbit.security.domain.guest,model_security_domain,grcbit.guest,1,0,0,0
access_business_process_guest,grcbit.business.process.guest,model_business_process,grcbit.guest,1,0,0,0
access_security_policy_guest,grcbit.security.policy.guest,model_security_policy,grcbit.guest,1,0,0,0
access_third_party_guest,grcbit.third.party.guest,model_third_party,grcbit.guest,1,0,0,0
access_impact_level_guest,grcbit.impact.level.guest,model_impact_level,grcbit.guest,1,0,0,0
access_probability_level_guest,grcbit.probablity.level.guest,model_probability_level,grcbit.guest,1,0,0,0
access_risk_classification_guest,grcbit.risk.classification.guest,model_risk_classification,grcbit.guest,1,0,0,0
access_risk_factor_guest,grcbit.risk.factor.guest,model_risk_factor,grcbit.guest,1,0,0,0
access_control_design_guest,grcbit.control.design.guest,model_control_design,grcbit.guest,1,1,0,0
access_control_category_guest,grcbit.control.category.guest,model_control_category,grcbit.guest,1,0,0,0
access_iso_control_guest,grcbit.iso.control.guest,model_iso_control,grcbit.guest,1,0,0,0
access_statement_applicability_guest,grcbit.statement.applicability.guest,model_statement_applicability,grcbit.guest,1,0,0,0
