id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_compliance_version_admin,access.compliance.version.admin,model_compliance_version,grcbit_base.group_admin,1,1,1,1
access_compliance_version_guest,access.compliance.version.guest,model_compliance_version,grcbit_base.group_guest,1,0,0,0

access_compliance_control_objective_admin,access.compliance.control.objective.admin,model_compliance_control_objective,grcbit_base.group_admin,1,1,1,1
access_compliance_control_objective_guest,access.compliance.control.objective.guest,model_compliance_control_objective,grcbit_base.group_guest,1,0,0,0

access_compliance_control_admin,access.compliance.control.admin,model_compliance_control,grcbit_base.group_admin,1,1,1,1
access_compliance_control_guest,access.compliance.control.guest,model_compliance_control,grcbit_base.group_guest,1,0,0,0

access_compliance_iso_control_admin,access.compliance.iso.control.admin,model_compliance_iso_control,grcbit_base.group_admin,1,1,1,1
access_compliance_iso_control_guest,access.compliance.iso.control.guest,model_compliance_iso_control,grcbit_base.group_guest,1,0,0,0
