id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_risk_factor_group_grc_admin,access.risk.factor.group.grc.admin,model_risk_factor,grcbit_base.group_grc_admin,1,1,1,1
access_risk_factor_group_grc_consultant,access.risk.factor.group.grc.consultant,model_risk_factor,grcbit_base.group_grc_consultant,1,1,1,1
access_risk_factor_group_asset_management,access.risk.factor.group.asset.management,model_risk_factor,grcbit_base.group_asset_management,1,0,0,0
access_risk_factor_group_risk_management,access.risk.factor.group.risk.management,model_risk_factor,grcbit_base.group_risk_management,1,1,1,1
access_risk_factor_group_isms,access.risk.factor.group.isms,model_risk_factor,grcbit_base.group_isms,1,0,0,0
access_risk_factor_group_control,access.risk.factor.group.control,model_risk_factor,grcbit_base.group_control,1,0,0,0
access_risk_factor_group_compliance,access.risk.factor.group.compliance,model_risk_factor,grcbit_base.group_compliance,1,0,0,0
access_risk_factor_group_guest,access.risk.factor.group.guest,model_risk_factor,grcbit_base.group_guest,1,0,0,0

access_risk_factor_company_risk_group_grc_admin,access.risk.factor.company.risk.group.grc.admin,model_risk_factor_company_risk,grcbit_base.group_grc_admin,1,1,1,1
access_risk_factor_company_risk_group_grc_consultant,access.risk.factor.company.risk.group.grc.consultant,model_risk_factor_company_risk,grcbit_base.group_grc_consultant,1,1,1,1
access_risk_factor_company_risk_group_asset_management,access.risk.factor.company.risk.group.asset.management,model_risk_factor_company_risk,grcbit_base.group_asset_management,1,0,0,0
access_risk_factor_company_risk_group_risk_management,access.risk.factor.company.risk.group.risk.management,model_risk_factor_company_risk,grcbit_base.group_risk_management,1,1,1,1
access_risk_factor_company_risk_group_isms,access.risk.factor.company.risk.group.isms,model_risk_factor_company_risk,grcbit_base.group_isms,1,0,0,0
access_risk_factor_company_risk_group_control,access.risk.factor.company.risk.group.control,model_risk_factor_company_risk,grcbit_base.group_control,1,0,0,0
access_risk_factor_company_risk_group_compliance,access.risk.factor.company.risk.group.compliance,model_risk_factor_company_risk,grcbit_base.group_compliance,1,0,0,0
access_risk_factor_company_risk_group_guest,access.risk.factor.company.risk.group.guest,model_risk_factor_company_risk,grcbit_base.group_guest,1,0,0,0

access_impact_level_group_admin_system,access.impact.level.group.admin.system,model_impact_level,base.group_system,1,1,1,1
access_impact_level_group_grc_admin,access.impact.level.group.grc.admin,model_impact_level,grcbit_base.group_grc_admin,1,0,0,0
access_impact_level_group_grc_consultant,access.impact.level.group.grc.consultant,model_impact_level,grcbit_base.group_grc_consultant,1,0,0,0
