id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_sod_role_group_grc_admin,access.sod.role.group.grc.admin,model_sod_role,grcbit_base.group_grc_admin,1,0,0,0
access_sod_role_group_grc_consultant,access.sod.role.group.grc.consultant,model_sod_role,grcbit_base.group_grc_consultant,1,0,0,0
access_sod_role_group_asset_management,access.sod.role.group.asset.management,model_sod_role,grcbit_base.group_asset_management,1,0,0,0
access_sod_role_group_risk_management,access.sod.role.group.risk.management,model_sod_role,grcbit_base.group_risk_management,1,0,0,0
access_sod_role_group_isms,access.sod.role.group.isms,model_sod_role,grcbit_base.group_isms,1,0,0,0
access_sod_role_group_control,access.sod.role.group.control,model_sod_role,grcbit_base.group_control,1,0,0,0
access_sod_role_group_compliance,access.sod.role.group.compliance,model_sod_role,grcbit_base.group_compliance,1,0,0,0
access_sod_role_group_sod,access.sod.role.group.sod,model_sod_role,grcbit_sod.group_sod,1,1,1,1

access_sod_privilege_group_grc_admin,access.sod.privilege.group.grc.admin,model_sod_privilege,grcbit_base.group_grc_admin,1,0,0,0
access_sod_privilege_group_grc_consultant,access.sod.privilege.group.grc.consultant,model_sod_privilege,grcbit_base.group_grc_consultant,1,0,0,0
access_sod_privilege_group_asset_management,access.sod.privilege.group.asset.management,model_sod_privilege,grcbit_base.group_asset_management,1,0,0,0
access_sod_privilege_group_risk_management,access.sod.privilege.group.risk.management,model_sod_privilege,grcbit_base.group_risk_management,1,0,0,0
access_sod_privilege_group_isms,access.sod.privilege.group.isms,model_sod_privilege,grcbit_base.group_isms,1,0,0,0
access_sod_privilege_group_control,access.sod.privilege.group.control,model_sod_privilege,grcbit_base.group_control,1,0,0,0
access_sod_privilege_group_compliance,access.sod.privilege.group.compliance,model_sod_privilege,grcbit_base.group_compliance,1,0,0,0
access_sod_privilege_group_sod,access.sod.privilege.group.sod,model_sod_privilege,grcbit_sod.group_sod,1,1,1,1
